"Parent","Offspring","GDM p-value","GDCV p-value","Cumulative p-value"
"F","CCC",6.86941226363556e-06,1.8539503265913e-11,1.27355491096574e-16
"M","RR",0.000147192842308319,4.47232251232776e-11,6.58293862309007e-15
"O","UU",1.1528494649899e-05,2.19486206987085e-09,2.53034556297723e-14
"AA","GG",0.010966148283185,5.31403587800128e-10,5.82745054203272e-12
"L","DDD",0.0126328375968899,1.88645279397548e-08,2.38312517804914e-10
"M","QQ",0.0853291771202511,0.000413026483813694,3.52432099926932e-05
"J","KK",0.0473467201638858,0.00265747464271093,0.000125822708251057
"H","II",0.16184376800687,0.00110229761230851,0.000178399999040986
"I","HH",0.0857750292071836,0.0292190588664568,0.00250626562767675
