row,type
"""Cf_H4AR15P25""",Off
"""Cf_Double_Pink""",Off
"""Cf_Comco_No1_Cherokee_Brave""",All
"""Cf_Appalachian_Joy""",All
"""Cf_Jeans_Appalachian_Snow""",All
"""Cf_Cherokee_Princess""",Pa
"""Cf_Kays_Appalachian_Mist""",All
"""Cf_Karens_Appalachian_Blush""",All
"""Cf_Appalachian_Spring_Maryland""",Pa
"""Cf_Grovflor_Spring_Grove""",Pa
"""Cf_Pluribracheata_(2)""",Off
"""Cf_Cherokee_Chief_(2)""",All
"""Cf_Little_Princess""",All
"""Cf_First_Lady_(2)""",All
"""Cf_Spring_Song""",All
"""Cf_Cloud_Nine""",Pa
"""Cf_Pygmaea""",All
"""Cf_ssp._urbiniana_Rutgers""",Off
"""Cf_H3G2R01P14""",Off
"""Cf_50820H_Missouri""",All
"""Cf_50847J_Missouri""",All
"""Cf_66345P_Missouri""",All
"""Cf_66345L_Missouri""",All
"""Cf_66345J_Missouri""",All
"""Cf_Red_Beauty""",All
"""Cf_rubra_H4A""",All
"""Cf_Xanthocarpa""",All
"""Cf_Fastigiata""",All
"""Cf_D9999-0570.001_Ohio""",All
"""Cf_D9999-0573.001_Ohio""",All
"""Cf_D9999-0569.001_Ohio""",All
"""Cf_Encore""",All
"""Cf_Xanthocarpa_Rutgers""",All
"""Cf_439-71*6_Michigan""",All
"""Cf_439-71*4_Michigan""",All
"""Cf_321-51*68_Michigan""",All
"""Cf_321-51*85_Michigan""",All
"""Cf_ssp._urbiniana_Morris""",All
"""Cf_White_Cloud""",Pa
"""Cf_Super_Princess""",Off
"""Cf_Red_Pygmy""",All
"""Cf_H4AR15P28""",All
"""Cf_H4AR15P35""",Off
"""Cf_Dixie_Colonnade""",All
"""Cf_Rainbow""",All
"""Cf_Fragrant_Cloud""",All
"""Cf_Jaunita""",All
"""Cf_Pluribracteata_Group""",All
"""Cf_Purple_Glory""",All
"""Cf_Springtime""",All
"""Cf_Sterling_Silver""",All
"""Cf_ssp._urbiniana_USNA""",Pa
"""Cf_Super""",All
"""Cf_Sweetwater_Red_USNA""",All
"""Cf_ssp._urbiniana_SpringMeadow""",Off
"""Cf_Powell_Peach_(2)""",All
